STE_NAME16,centroid_lon,centroid_lat
New South Wales,147.00837821431102,-32.16562543659642
Victoria,144.30415750877552,-36.84991934142647
Queensland,144.5454728602721,-22.567599278290093
South Australia,135.83190525291448,-30.107920705757504
Western Australia,122.18163635962743,-25.46723559071196
Tasmania,146.59444449988231,-41.93706699906435
Northern Territory,133.36452297205167,-19.41521996167163
Australian Capital Territory,149.0025538498381,-35.48806379141471

